Fiscal Year,Month Ending,Licensee,Wagers,Patron Winnings,Cancelled Wagers,Online Casino Gaming Win/(Loss),Promotional Coupons or Credits Wagered (3),Promotional Deduction (4),Total Gross Gaming Revenue,Payment (5)
2021/22,06/30/2022 12:00:00 AM,Mohegan Tribe On-Reservation,0.0003374652026927431,0.0002960091710492692,4.412533005746883e-06,0.004828425734958856,0.00019840677188704586,0.0015347203458524721,0.00515854693306821,0.0016270563745083462
2021/22,06/30/2022 12:00:00 AM,MPTN On-Reservation,0.00071106984796955,0.0007587377753207693,2.64751980344813e-06,0.0025961955326464876,0.0009017106513883723,0.0,0.002923757468587863,0.0
2021/22,06/30/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.5357973956783413,0.5371106720195418,0.14537266488753336,0.5102736146698078,0.3841497270028387,0.7851710948992764,0.4318754115246287,0.4298587003077576
2021/22,06/30/2022 12:00:00 AM,"Mohegan Digital, LLC",0.32443083044529747,0.3254126399737982,0.01027678937038449,0.30820014083150776,0.043389946433897535,0.3356308505208802,0.28605296410413367,0.28351859098184157
2021/22,05/31/2022 12:00:00 AM,Mohegan Tribe On-Reservation,0.0007681835640448555,0.0007526892252921905,0.0,0.004509951223216311,0.00012823473675954608,0.0009919241045963554,0.004898595265210972,0.0013662695775765235
2021/22,05/31/2022 12:00:00 AM,MPTN On-Reservation,0.0007608115005232061,0.0007569720741443043,8.825066011493766e-06,0.00415971457982287,0.0007021550452979116,0.0015774715542345912,0.004397734087961844,0.0008634453612700681
2021/22,05/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.6338470883318075,0.6393978177695198,0.12970199517092387,0.48753468190147586,0.930503417284962,0.7499652346212735,0.4126694730266078,0.41058458367737627
2021/22,05/31/2022 12:00:00 AM,"Mohegan Digital, LLC",0.35176660529685344,0.35306173356575843,0.0034303031586676268,0.32746075175885225,0.037430881321638736,0.2895361613978204,0.3161257732819649,0.3136982708934419
2021/22,04/30/2022 12:00:00 AM,MPTN On-Reservation,0.0017227114080136333,0.0017529067763172466,0.0,0.0041515704435021285,0.0014913730934708275,0.0015647422618511513,0.004390833489251924,0.0008566274057947264
2021/22,04/30/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.6071602796259163,0.6109556351282664,0.18534580138659437,0.5091451864101667,0.5412355097076179,0.7834238193881533,0.43092229908382756,0.42890223855393106
2021/22,04/30/2022 12:00:00 AM,"Mohegan Digital, LLC",0.36106648639534417,0.36094370740081655,0.0032017339489699382,0.3786891143883891,0.03171779092720297,0.24534414122309284,0.38185367027122497,0.37965955513327515
2021/22,03/31/2022 12:00:00 AM,MPTN On-Reservation,0.002914053714794164,0.0030217446601726434,0.0,0.0031031486278119227,0.0003426941379213341,0.0,0.0034946728251452923,0.0
2021/22,03/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.6861381632541758,0.6920070652505387,0.11415752389827877,0.5327432479971338,1.0,0.8199597706325618,0.45085389231327455,0.4489046589281248
2021/22,03/31/2022 12:00:00 AM,"Mohegan Digital, LLC",0.3578927288408642,0.3585804834375982,0.005810423461967496,0.35150305659131514,0.028068565654415394,0.21711657509982285,0.3563706327289981,0.3540858911420879
2021/22,02/28/2022 12:00:00 AM,MPTN On-Reservation,0.0009056703797191202,0.0008796110482281281,0.0,0.004961834444212918,0.000292952721870779,0.0022660542195802936,0.00517579842984301,0.0016443447616065342
2021/22,02/28/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.6296198976041557,0.6334592641889497,0.10059604495841629,0.5347143616763625,0.533199724950462,0.8230116785253234,0.4525187709387312,0.4505753015179934
2021/22,02/28/2022 12:00:00 AM,"Mohegan Digital, LLC",0.3181604744816251,0.31898213589671165,0.002914919303596391,0.3067669667470648,0.031299149533564,0.24210585727581133,0.3014460160921962,0.29896637360009715
2021/22,01/31/2022 12:00:00 AM,MPTN On-Reservation,0.0004158543011189494,0.00039333932138905733,0.0,0.0043531184266397335,0.00021948943199836106,0.0016977993935572968,0.004593615007037736,0.0010601920764156448
2021/22,01/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.641015100841523,0.645164864581965,0.184345038900891,0.5336579896323593,0.07973195027771048,0.6167443033414393,0.4888377574905999,0.487023360993941
2021/22,01/31/2022 12:00:00 AM,"Mohegan Digital, LLC",0.3533886264125511,0.3542077924872542,0.0065031911438697566,0.3429736250593988,0.03307090027181417,0.25581074184154434,0.3397287470731416,0.33738506570682836
2021/22,12/31/2021 12:00:00 AM,MPTN On-Reservation,0.0,0.0,0.0,0.003263549331729016,1.6704670309112783e-05,0.00012921432645831456,0.0036518143071597987,0.0001149312494414755
2021/22,12/31/2021 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.6681250657383797,0.6752563151322774,0.259937024328942,0.47071071899809436,0.08869499948488759,0.6860754750968207,0.4053409061726467,0.4032299577067612
2021/22,12/31/2021 12:00:00 AM,"Mohegan Digital, LLC",0.3711074359498905,0.37324968581315326,0.000590396916168933,0.32263368337994686,0.034212996717873825,0.2646451109309796,0.3152159861191399,0.31278515185656575
2021/22,11/30/2021 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.5306830680764594,0.5351837967944768,0.10308736109346098,0.4132614772307594,0.1854829459909443,0.6349714491578853,0.3499363048534269,0.34762855681170973
2021/22,11/30/2021 12:00:00 AM,"Mohegan Digital, LLC",0.3510228485511059,0.35293069133319604,0.01848939580068059,0.3080399728171998,0.060293675555931736,0.46638494100693506,0.2620956139969298,0.25947628849009796
2021/22,10/31/2021 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.24171431924891795,0.24383980899133312,0.0005065587890597422,0.18983229400580318,0.038700746760861965,0.28904596355339396,0.1612218759111629,0.1582445030842726
2021/22,10/31/2021 12:00:00 AM,"Mohegan Digital, LLC",0.15716929260513463,0.15727466989579295,0.050962108696573055,0.1598410466254519,0.06765282801684948,0.24261190669188507,0.1358904331671774,0.13282302559923131
2022/23,06/30/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0010677447752005336,0.001052818805967915,0.0,0.004801860337912626,0.00020073548986694078,0.0015527334954516796,0.005125354179779987,0.001593697092361138
2022/23,06/30/2023 12:00:00 AM,MPTN On-Reservation,0.0015758634241049723,0.0015553146457111542,0.0,0.005490427673030611,0.00015043518150121082,0.0011636494641087995,0.005971551015252768,0.0024430195458608555
2022/23,06/30/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.7159700795169043,0.7186514933621079,0.22892309484474946,0.6520346398816106,0.09920670824784092,0.767385871686331,0.5947565757027998,0.5933182088354372
2022/23,06/30/2023 12:00:00 AM,"Mohegan Digital, LLC",0.5306992003663811,0.5298435214090917,0.011582016633484418,0.5745938315613437,0.12519678443169438,0.7078041370200245,0.5183797009891965,0.5166700228864155
2022/23,05/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0009072001658323873,0.0009505851040438229,5.29503960689626e-06,0.002923900065552541,0.00044751749658967013,0.0,0.0032928084755424435,0.0
2022/23,05/31/2023 12:00:00 AM,MPTN On-Reservation,0.001051011543444488,0.001087531936426691,7.060052809195013e-06,0.0032735937665245977,0.00022678608166869842,0.00016427992434477168,0.003656749545477653,0.00012004471604798183
2022/23,05/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.7472351706049244,0.7488386404259946,0.27377737535476765,0.7139265080119104,0.10761247971764262,0.8324063766549581,0.6526336440699138,0.6514006150282835
2022/23,05/31/2023 12:00:00 AM,"Mohegan Digital, LLC",0.5438361295258956,0.5437867947709767,0.018267886643792097,0.5641545224990103,0.1072932901065317,0.6948740580623856,0.5089745343449786,0.5072315375244442
2022/23,04/30/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0012629271105094448,0.0012560051850283875,2.64751980344813e-06,0.004767810091771618,0.0002834515525128078,0.002015071001831337,0.005002934064691977,0.0014709738938049864
2022/23,04/30/2023 12:00:00 AM,MPTN On-Reservation,0.0013166418689486005,0.0013702158083955323,1.7650132022987532e-05,0.003045945765559091,0.0013865186852294261,0.0,0.0034302526789609126,0.0
2022/23,04/30/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.7311312053301657,0.7323225080166366,0.2651967636717923,0.7098172870772761,0.114573731899729,0.8752925635714071,0.6402073691056877,0.6389303309654736
2022/23,04/30/2023 12:00:00 AM,"Mohegan Digital, LLC",0.5341584001886228,0.5349774553966351,0.017158575846147328,0.5287326486751837,0.08154061895833525,0.6307347563721516,0.48074689285256944,0.4789036630196286
2022/23,03/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0009047198453951968,0.0009131686150897411,8.825066011493766e-07,0.00394746287466372,0.00017493329464970522,0.0009988891891080489,0.004263871207924473,0.0007292777374517355
2022/23,03/31/2023 12:00:00 AM,MPTN On-Reservation,0.0007446281752015373,0.0007400308514878394,2.64751980344813e-06,0.0041655706016535,0.0002511599965249318,0.00126908643309616,0.004460363572455674,0.0009265114494169795
2022/23,03/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.7999085453288346,0.8024397180472894,0.30711759223958995,0.7394814116487443,0.10674725231460594,0.8257136509652045,0.6826298915418052,0.6815033494423764
2022/23,03/31/2023 12:00:00 AM,"Mohegan Digital, LLC",0.5879231452502518,0.5879978629706775,0.01895800680589091,0.6058984954406216,0.07857966957168541,0.6078311567444235,0.5718136572806295,0.5702937296967981
2022/23,02/28/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0009431609845166533,0.0009843302023692041,8.825066011493766e-07,0.0030262059303816733,0.00019499131884986667,0.0,0.0034080222691928795,0.0
2022/23,02/28/2023 12:00:00 AM,MPTN On-Reservation,0.001092657705682314,0.0010762879724652676,8.825066011493766e-07,0.0048699220485931135,0.00025724571284572377,0.0019898525923924466,0.005122515325880337,0.0015910186098529683
2022/23,02/28/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.6960509042287573,0.6981066119514654,0.20037665381737055,0.6511432059889031,0.10452630740282058,0.8026186316010687,0.5873457694350995,0.5858810369038885
2022/23,02/28/2023 12:00:00 AM,"Mohegan Digital, LLC",0.5074911495238745,0.5089129392825985,0.056355989042798045,0.48183851783234266,0.08740600750865615,0.5929169894022637,0.43481310121466255,0.4328067355556134
2022/23,01/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,0.0009280468508237737,0.0008902118585074736,8.825066011493766e-07,0.005330647474737955,0.00015242235417738782,0.0011790206851001231,0.005788772498790648,0.002259665243256129
2022/23,01/31/2023 12:00:00 AM,MPTN On-Reservation,0.0005929471389183511,0.0005728412689620772,2.64751980344813e-06,0.004464770657436955,0.0007746868479783716,0.0016396769641838541,0.004729923668896346,0.0011970381827421475
2022/23,01/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.6902380270383968,0.6916763482316071,0.21151476963047686,0.6627954484206057,0.1068517030783975,0.8170510072352817,0.597843676457306,0.5964162391037505
2022/23,01/31/2023 12:00:00 AM,"Mohegan Digital, LLC",0.4873337333334875,0.48672677061526015,0.25433487242484576,0.5119484369133677,0.0875378129463182,0.6302111741571347,0.46194022823686554,0.4600303447718334
2022/23,12/31/2022 12:00:00 AM,Mohegan Tribe On-Reservation,0.0011668249006483026,0.0012610381597355739,7.501306109769702e-05,0.0016957255267830973,0.0002524640785936729,0.0,0.0019096751809572821,0.0
2022/23,12/31/2022 12:00:00 AM,MPTN On-Reservation,0.001059226966950182,0.0010803991375829456,8.825066011493766e-06,0.0037326515838037636,0.0029404877179998287,0.0007330151010237473,0.004070305046643679,0.0005349660064044951
2022/23,12/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.7560333431007434,0.760133503332102,0.2387489233419466,0.6512124699292309,0.684977583139734,0.802704374193161,0.5874082242208919,0.5859436159952157
2022/23,12/31/2022 12:00:00 AM,"Mohegan Digital, LLC",0.5208639298530269,0.5232712963711609,0.3035690331963683,0.4558089273928141,0.07735554015358732,0.5606765738989462,0.4113621152938056,0.4092726142451926
2022/23,11/30/2022 12:00:00 AM,Mohegan Tribe On-Reservation,0.000334702911670872,0.00034381252593670747,0.0,0.0033408798451745386,8.83670849437453e-05,0.00024762076315710467,0.0037173699949040384,0.00018091931850639049
2022/23,11/30/2022 12:00:00 AM,MPTN On-Reservation,0.0007820511580941473,0.0007535185897939257,0.0,0.004907152386059363,0.0010172150631911595,0.0021877570626557385,0.005128455081731913,0.0015968625716889753
2022/23,11/30/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.6532726492317135,0.6560535145278887,0.20147890456220613,0.5857310543247632,0.4019928920075356,0.7215988471584256,0.5284136082601739,0.5267396561266756
2022/23,11/30/2022 12:00:00 AM,"Mohegan Digital, LLC",0.4981021376511548,0.49991143826623546,0.043571115911947025,0.46134856891818293,0.06383133971269582,0.493749557176739,0.4297710346408308,0.4277468385992705
2022/23,10/31/2022 12:00:00 AM,Mohegan Tribe On-Reservation,0.000953054196795447,0.0009676068859910613,0.0,0.0038180098887654465,0.0003667886066199801,0.0008386922453390975,0.004147216149986522,0.0006121550023217572
2022/23,10/31/2022 12:00:00 AM,MPTN On-Reservation,0.001282899814276821,0.001337257813960333,0.0,0.0029889755929154234,0.0,0.0,0.0033660945808288087,0.0
2022/23,10/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.7523650818661786,0.7575809135304451,0.2888541181288036,0.6124692621873994,0.368034998581966,0.7547168633102165,0.5525030305857246,0.5509146652517786
2022/23,10/31/2022 12:00:00 AM,"Mohegan Digital, LLC",0.4897736388374637,0.4921675126807488,0.01105516019259824,0.43703134131249266,0.05848053573678556,0.4523599027289921,0.40991215974589024,0.40781746774802685
2022/23,09/30/2022 12:00:00 AM,Mohegan Tribe On-Reservation,0.0010575415228670912,0.001016276583415344,1.7650132022987532e-05,0.005564035152729509,0.00015990530128611678,0.0012369029391455762,0.006041168447807277,0.0025129035894831085
2022/23,09/30/2022 12:00:00 AM,MPTN On-Reservation,0.00291863924547897,0.002979631960759691,3.5300264045975065e-06,0.004479042286799018,0.003070895924873943,0.002071752379236843,0.004667425208428653,0.0011342155930050698
2022/23,09/30/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.7506189732790615,0.7572181220279885,0.215343965772864,0.573278786235153,0.47601116194892207,0.8827192650634963,0.48509134383656866,0.4832635020476998
2022/23,09/30/2022 12:00:00 AM,"Mohegan Digital, LLC",0.44863354362546437,0.4518396439742101,0.019018899761370216,0.37044841187984384,0.049584336260417985,0.383545828454772,0.34744200046784307,0.3451256366570298
2022/23,08/31/2022 12:00:00 AM,Mohegan Tribe On-Reservation,0.00047483336106214207,0.0004951741887916144,0.0,0.0031554262266707818,0.00012075178965081712,2.2576480831006635e-05,0.003549484542746239,1.2418418901515362e-05
2022/23,08/31/2022 12:00:00 AM,MPTN On-Reservation,0.003630625178877482,0.0035349231901301123,0.0,0.009814072082509563,0.0008355129616132265,0.006462877900867633,0.009877071511690575,0.006362369950543037
2022/23,08/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",0.5734294285003093,0.5760525841605254,0.1467281950268988,0.5105160384609552,0.44144988216997516,0.785546248761596,0.4320801584028066,0.43006421296565717
2022/23,08/31/2022 12:00:00 AM,"Mohegan Digital, LLC",0.5088211141839781,0.5149699836940995,0.017885761285494416,0.34608530563954676,0.03336226946545862,0.25806454711939714,0.3428231414984362,0.3404904009274367
